id_producto,modelo,categoria,marca,coste_eur,precio_eur,stock,unidades_vendidas,valoracion,garantia_meses,fecha_alta,descatalogado
P0038,MSI SOB-395,Sobremesa ,MSI ,1083.04,"1542,57 €",39,117,,12,2024-06-21,0
P0055,MSI SOB-497,Sobremesa ,MSI ,1430.34,"1727,93",29,473,3.3,24,2022-04-18,no
P0145,Logitech PER-517,Periférico,Logitech,16188.999999999998,"216,61",99,238,4.8,24,2019-06-16,no
P0064,MSI SOB-990,Sobremesa,MSI,694.75,"845,07 €",63,208,5.0,36,2020-11-22,No
P0120,Samsung MON-504,monitor,Samsung,669.54,"861,76",56,277,4.2,12,2022-01-27,no
P0118,Nvidia COM-215,Componente,Nvidia,585.94,"674,37",52,276,3.2,36,2021-06-22,1
P0045,HP SOB-424,Sobremesa ,HP,666.01," 1015,30€ ",66,218,3.5,12,2023-12-26,no
P0067,Dell SOB-768,Sobremesa,Dell,1918.46,"2695,50",66,324,4.2,36,2023-09-10,SI
P0081,Lenovo POR-965,Portátil,Lenovo,722.67," 836,18€ ",36,226,,36,2021-11-26,No
P0090,Dell SOB-926,Sobremesa,Dell,487.42,"650,37 €",111,431,2.9,,2020-02-01,1
P0129,Dell POR-357,portatil,Dell,1066.21,"1328,59",72,322,3.2,12,2020-05-12,false
P0165,Apple POR-254,Portatil,Apple,660.27,"900,58",8,457,,36,2021-12-02,0
P0007,Intel COM-320,componente,Intel,714.62,"1011,86",56,352,,24,2021-01-04,no
P0104,Kingston COM-520,componente,Kingston ,307.65," 428,71€ ",-48,285,3.5,24,2022-12-14,false
P0214,Dell SOB-548,sobremesa,Dell ,1737.23," 2162,55€ ",52,422,-3.9,36,2024-06-15,0
P0206,Dell POR-675, Portátil ,Dell ,1408.52,"1977,88 €",115,185,3.8,36,2019-06-02,false
P0082,Corsair PER-767,Periférico,Corsair,61.95,"93,47 €",64,193,3.3,12,2020-07-27,no
P0096,Acer POR-906, Portátil ,Acer,1788.9,"2060,10 €",60,462,5.0,12,2021-02-16,No
P0119,Samsung MON-691,monitor,Samsung ,475.69," 621,81€ ",-19,460,,24,2023-04-18,No
P0098,Intel COM-456,COMPONENTE,Intel ,548.27,"681,23 €",2,423,3.1,36,2020-07-15,0
P0044,BenQ MON-382, Monitor,BenQ,499.45,"641,02 €",92,369,4.4,36,2023-05-15,false
P0052,Nvidia COM-239,Componente,Nvidia,205.55,"246,65",4,348,4.4,24,2019-11-13,0
P0103,Kingston COM-937,COMPONENTE,Kingston,116.88," 143,97€ ",51,371,2.6,12,2024-10-20,false
P0159,Lenovo SOB-298,sobremesa,Lenovo,2167.86,"3019,58",109,212,3.4,12,2021-11-22,SI
P0047,Lenovo POR-383,Portátil,Lenovo,1244.15,"1772,22 €",65,6,3.6,36,2023-12-13,No
P0041,Logitech PER-748,Periférico,Logitech,173.22,"254,69 €",48,296,4.5,36,2023-02-07,no
P0083,Lenovo SOB-154,SOBREMESA,Lenovo,1576.19,"2001,37 €",102,120,-3.3,12,2019-01-08,0
P0085,MSI SOB-225,SOBREMESA,MSI,733.32,"1008,22 €",38,50,4.1,12,2024-12-12,no
P0140,Acer POR-687,Portátil,Acer,687.99,"839,44 €",10,21,,36,2024-02-27,No
P0218,Dell POR-549, Portátil ,Dell,890.42," 1252,49€ ",-76,154,4.4,24,2020-11-26,no
P0168,Nvidia COM-169, Componente,Nvidia,450.16," 599,87€ ",84,431,3.4,24,2019-02-20,false
P0216,Dell MON-185, Monitor,Dell,391.04,"522,95 €",110,484,3.6,36,2021-03-04,false
P0010,Lenovo SOB-120,Sobremesa ,Lenovo ,1402.66,"2052,88 €",79,498,3.5,24,2020-03-10,No
P0160,Intel COM-246, Componente,Intel,294.3,"441,37 €",34,33,3.8,12,2021-09-16,no
P0087,Lenovo POR-307,portatil,Lenovo,600.66,"783,14",93,30,4.2,24,2020-06-11,false
P0025,Intel COM-474,componente,Intel ,22980.0,"276,39",2,338,2.8,12,2022-10-16,No
P0049,Lenovo POR-507,Portatil,Lenovo,1798.79," 2547,58€ ",16,325,2.7,36,2024-03-07,1
P0117,Razer PER-289,periferico,Razer ,23.27,"29,95 €",6,397,4.1,12,2023-10-06,no
P0037,Razer PER-554,PERIFERICO,Razer,120.53,"151,46 €",7,69,3.7,12,2021-05-10,no
